"game_id","player_id","pos","player","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","Total_DKP","Off_DKP","Total_FDP","Off_FDP","Total_SDP","Off_SDP","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","offense","off_pct","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date"
"202210200crd","AndeSt01","TE","Stephen Anderson","ARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ARI","NOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210230car","WhitRa01","RB","Rachaad White","TAM",0,0,0,0,0,0,0,0,0,6,24,0,11,2,1,8,0,8,0,0,6,6,0,6,"TAM","CAR",0,0,0,0,0,0,4.2,4.2,3.7,3.7,3.7,3.7,0,0,0,0,10,14,0,5,12,0,29,43,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
"202210230car","FourLe00","RB","Leonard Fournette","TAM",0,0,0,0,0,0,0,0,0,8,19,0,9,3,2,7,0,7,0,0,8,8,0,8,"TAM","CAR",0,0,0,0,0,0,4.6,4.6,3.6,3.6,3.6,3.6,0,0,0,0,8,11,0,-12,13,1,40,60,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
"202210230car","BradTo00","QB","Tom Brady","TAM",32,49,290,0,0,1,14,35,81.2,1,1,0,1,0,0,0,0,0,0,1,0,51,51,0,"TAM","CAR",0,0,0,0,0,0,11.7,11.7,11.7,11.7,11.7,11.7,295,10,12,9,0,1,0,0,0,0,67,100,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
"202210230car","MillSc01","WR","Scott Miller","TAM",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0,4,0,0,0,0,0,0,"TAM","CAR",0,0,0,0,0,0,2.6,2.6,1.6,1.6,1.6,1.6,0,0,0,0,0,0,0,6,0,0,8,12,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
"202210230car","DardJa00","WR","Jaelon Darden","TAM",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,"TAM","CAR",0,0,0,0,0,0,1.1,1.1,0.6,0.6,0.6,0.6,0,0,0,0,0,0,0,-5,6,0,4,6,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
"202210230car","WalkPh00","QB","P.J. Walker","CAR",16,22,177,2,0,1,7,29,126.5,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,"CAR","TAM",0,0,0,0,0,0,15.08,15.08,15.08,15.08,15.08,15.08,187,3,11,4,0,0,0,0,0,0,50,100,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
"202210230car","ForeDO00","RB","D'Onta Foreman","CAR",0,0,0,0,0,0,0,0,0,15,118,0,60,2,2,27,0,23,0,0,15,15,0,15,"CAR","TAM",0,0,0,0,1,0,19.5,19.5,15.5,15.5,17.5,17.5,0,0,0,0,61,57,1,0,27,0,27,54,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
"202210230car","HubbCh01","RB","Chuba Hubbard","CAR",0,0,0,0,0,0,0,0,0,9,63,1,17,3,2,10,0,7,0,0,9,9,0,9,"CAR","TAM",0,0,0,0,0,0,15.3,15.3,14.3,14.3,14.3,14.3,0,0,0,0,50,13,0,0.9,15,0,23,46,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
"202210230car","MarsTe00","WR","Terrace Marshall Jr.","CAR",0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,31,0,20,0,0,0,0,0,0,"CAR","TAM",0,0,0,0,0,0,5.1,5.1,4.1,4.1,4.1,4.1,0,0,0,0,0,0,0,62.1,4,1,43,86,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
"202210230car","TremTo00","TE","Tommy Tremble","CAR",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,29,1,29,0,0,0,0,0,0,"CAR","TAM",0,0,0,0,0,0,9.9,9.9,9.4,9.4,9.4,9.4,0,0,0,0,0,0,0,29,0,0,32,64,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
"202210230car","GodwCh00","WR","Chris Godwin","TAM",0,0,0,0,0,0,0,0,0,1,2,0,2,13,7,43,0,10,0,0,1,1,0,1,"TAM","CAR",0,0,0,0,0,0,11.5,11.5,8,8,8,8,0,0,0,0,2,0,0,68.9,37,1,63,94,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
"202210230car","EvanMi00","WR","Mike Evans","TAM",0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,96,0,20,0,0,0,0,0,0,"TAM","CAR",0,0,0,0,0,0,18.6,18.6,14.1,14.1,14.1,14.1,0,0,0,0,0,0,0,217.5,4,1,59,88,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
"202210230car","OttoCa00","TE","Cade Otton","TAM",0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,64,0,35,0,0,0,0,0,0,"TAM","CAR",0,0,0,0,0,0,10.4,10.4,8.4,8.4,8.4,8.4,0,0,0,0,0,0,0,-29,39,0,54,81,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
"202210230car","GageRu00","WR","Russell Gage","TAM",0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,39,0,20,0,0,0,0,0,0,"TAM","CAR",0,0,0,0,0,0,7.9,7.9,5.9,5.9,5.9,5.9,0,0,0,0,0,0,0,27,14,0,41,61,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
"202210230car","KiefKo00","TE","Ko Kieft","TAM",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,0,18,0,0,0,0,0,0,"TAM","CAR",0,0,0,0,0,0,2.8,2.8,2.3,2.3,2.3,2.3,0,0,0,0,0,0,0,12,6,0,18,27,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
"202210230car","RudoKy00","TE","Kyle Rudolph","TAM",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,8,0,0,0,0,0,0,"TAM","CAR",0,0,0,0,0,0,1.8,1.8,1.3,1.3,1.3,1.3,0,0,0,0,0,0,0,5,3,0,8,12,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
"202210230car","PerrBr02","WR","Breshad Perriman","TAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TAM","CAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
"202210230car","SmitSh03","WR","Shi Smith","CAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CAR","TAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
"202210230car","RiccGi00","TE","Giovanni Ricci","CAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CAR","TAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
"202210230car","SullSt00","TE","Stephen Sullivan","CAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CAR","TAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
"202210230car","BlacRa00","RB","Raheem Blackshear","CAR",0,0,0,0,0,0,0,0,0,2,-5,0,-1,0,0,0,0,0,0,0,2,2,0,2,"CAR","TAM",0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,0,0,0,-5,0,0,0,0,0,5,10,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
"202210230car","ShenLa00","WR","Laviska Shenault Jr.","CAR",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,8,0,0,0,0,0,0,"CAR","TAM",0,0,0,0,0,0,1.8,1.8,1.3,1.3,1.3,1.3,0,0,0,0,0,0,0,-2,10,0,2,4,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
"202210230car","ThomIa00","TE","Ian Thomas","CAR",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,"CAR","TAM",0,0,0,0,0,0,1.3,1.3,0.8,0.8,0.8,0.8,0,0,0,0,0,0,0,-6,9,0,31,62,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
"202210230car","MoorD.00","WR","D.J. Moore","CAR",0,0,0,0,0,0,0,0,0,1,-3,0,-3,10,7,69,1,21,0,0,1,1,0,1,"CAR","TAM",0,0,0,0,0,0,19.6,19.6,16.1,16.1,16.1,16.1,0,0,0,0,-3,0,0,88,15,0,50,100,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
"202210230cin","LondDr00","WR","Drake London","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0,9,0,0,0,0,0,0,"ATL","CIN",0,0,0,0,0,0,1.9,1.9,1.4,1.4,1.4,1.4,0,0,0,0,0,0,0,5,4,0,40,85,"ATL","CIN",17,35,"False","outdoors","fieldturf ",72,45,0,-6.5,"CIN",47,2022-10-23
"202210230cin","PittKy00","TE","Kyle Pitts","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,0,7,0,0,0,0,0,0,"ATL","CIN",0,0,0,0,0,0,3.9,3.9,2.4,2.4,2.4,2.4,0,0,0,0,0,0,0,20,3,0,37,79,"ATL","CIN",17,35,"False","outdoors","fieldturf ",72,45,0,-6.5,"CIN",47,2022-10-23
"202210230cin","BurrJo01","QB","Joe Burrow","CIN",34,42,481,3,0,3,22,60,138.2,3,20,1,20,0,0,0,0,0,0,0,3,48,45,3,"CIN","ATL",0,0,0,1,0,0,42.24,42.24,39.24,39.24,41.24,41.24,363,4,1,1,20,0,0,0,0,0,68,100,"ATL","CIN",17,35,"False","outdoors","fieldturf ",72,45,0,-6.5,"CIN",47,2022-10-23
"202210230cin","MixoJo00","RB","Joe Mixon","CIN",0,0,0,0,0,0,0,0,0,17,58,1,11,3,3,33,0,22,0,0,17,17,0,17,"CIN","ATL",0,0,0,0,0,0,18.1,18.1,16.6,16.6,16.6,16.6,0,0,0,0,51,7,0,8.1,25,0,49,72,"ATL","CIN",17,35,"False","outdoors","fieldturf ",72,45,0,-6.5,"CIN",47,2022-10-23
"202210230cin","BoydTy00","WR","Tyler Boyd","CIN",0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,155,1,60,0,0,0,0,0,0,"CIN","ATL",0,0,0,0,0,1,32.5,32.5,25.5,25.5,27.5,27.5,0,0,0,0,0,0,0,117,38,0,51,75,"ATL","CIN",17,35,"False","outdoors","fieldturf ",72,45,0,-6.5,"CIN",47,2022-10-23
"202210230cin","PeriSa00","RB","Samaje Perine","CIN",0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,8,0,6,0,0,1,1,0,1,"CIN","ATL",0,0,0,0,0,0,2.8,2.8,1.8,1.8,1.8,1.8,0,0,0,0,0,0,0,-1,9,0,20,29,"ATL","CIN",17,35,"False","outdoors","fieldturf ",72,45,0,-6.5,"CIN",47,2022-10-23
"202210230cin","AllgTy00","RB","Tyler Allgeier","ATL",0,0,0,0,0,0,0,0,0,16,50,1,9,0,0,0,0,0,0,0,16,16,0,16,"ATL","CIN",0,0,0,0,0,0,11,11,11,11,11,11,0,0,0,0,35,15,0,0,0,0,29,62,"ATL","CIN",17,35,"False","outdoors","fieldturf ",72,45,0,-6.5,"CIN",47,2022-10-23
