"game_id","player_id","pos","player","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","Total_DKP","Off_DKP","Total_FDP","Off_FDP","Total_SDP","Off_SDP","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","offense","off_pct","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date"
"202211060atl","PalmJo00","WR","Josh Palmer","LAC",0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,106,0,25,0,0,0,0,0,0,"LAC","ATL",0,0,0,0,0,1,21.6,21.6,14.6,14.6,16.6,16.6,0,0,0,0,0,0,0,96,27,1,63,91,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060chi","FielJu00","QB","Justin Fields","CHI",17,28,123,3,0,2,7,18,106.7,15,178,1,61,0,0,0,0,0,0,9,6,45,39,6,"CHI","MIA",1,0,0,0,1,0,45.72,45.72,42.72,42.72,44.72,44.72,226,7,16,2,156,22,1,0,0,0,74,100,"MIA","CHI",35,32,"False","outdoors","grass ",58,55,17,NA,"",NA,2022-11-06
"202211060chi","MontDa01","RB","David Montgomery","CHI",0,0,0,0,0,0,0,0,0,14,36,0,8,2,1,8,0,8,0,0,14,14,0,14,"CHI","MIA",0,0,0,0,0,0,5.4,5.4,4.9,4.9,4.9,4.9,0,0,0,0,15,21,0,0,7,0,52,70,"MIA","CHI",35,32,"False","outdoors","grass ",58,55,17,NA,"",NA,2022-11-06
"202211060chi","GesiMi00","TE","Mike Gesicki","MIA",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,3,0,0,0,0,0,0,"MIA","CHI",0,0,0,0,0,0,1.3,1.3,0.8,0.8,0.8,0.8,0,0,0,0,0,0,0,8,2,0,28,49,"MIA","CHI",35,32,"False","outdoors","grass ",58,55,17,NA,"",NA,2022-11-06
"202211060chi","SmytDu00","TE","Durham Smythe","MIA",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"MIA","CHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,33,58,"MIA","CHI",35,32,"False","outdoors","grass ",58,55,17,NA,"",NA,2022-11-06
"202211060chi","TagoTu00","QB","Tua Tagovailoa","MIA",21,30,302,3,0,0,0,39,135.7,5,0,0,4,0,0,0,0,0,0,1,4,35,31,4,"MIA","CHI",0,0,0,1,0,0,27.08,27.08,24.08,24.08,26.08,26.08,262,4,4,2,0,0,0,0,0,0,57,100,"MIA","CHI",35,32,"False","outdoors","grass ",58,55,17,NA,"",NA,2022-11-06
"202211060chi","WilsJe01","RB","Jeff Wilson","MIA",0,0,0,0,0,0,0,0,0,9,51,0,28,3,3,21,1,10,0,0,9,9,0,9,"MIA","CHI",0,0,0,0,0,0,16.2,16.2,14.7,14.7,14.7,14.7,0,0,0,0,27,24,1,6.9,14,0,28,49,"MIA","CHI",35,32,"False","outdoors","grass ",58,55,17,NA,"",NA,2022-11-06
"202211060chi","MostRa00","RB","Raheem Mostert","MIA",0,0,0,0,0,0,0,0,0,9,26,1,14,2,0,0,0,0,0,0,9,9,0,9,"MIA","CHI",0,0,0,0,0,0,8.6,8.6,8.6,8.6,8.6,8.6,0,0,0,0,19,7,0,2,0,1,27,47,"MIA","CHI",35,32,"False","outdoors","grass ",58,55,17,NA,"",NA,2022-11-06
"202211060chi","HillTy00","WR","Tyreek Hill","MIA",0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,143,1,39,0,0,0,0,0,0,"MIA","CHI",0,0,0,0,0,1,30.3,30.3,23.8,23.8,25.8,25.8,0,0,0,0,0,0,0,112,41,0,45,79,"MIA","CHI",35,32,"False","outdoors","grass ",58,55,17,NA,"",NA,2022-11-06
"202211060chi","WaddJa00","WR","Jaylen Waddle","MIA",0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,85,1,26,0,0,0,0,0,0,"MIA","CHI",0,0,0,0,0,0,19.5,19.5,17,17,17,17,0,0,0,0,0,0,0,118.3,17,1,41,72,"MIA","CHI",35,32,"False","outdoors","grass ",58,55,17,NA,"",NA,2022-11-06
"202211060chi","SherTr00","WR","Trent Sherfield","MIA",0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,27,0,18,0,0,0,0,0,0,"MIA","CHI",0,0,0,0,0,0,5.7,5.7,4.2,4.2,4.2,4.2,0,0,0,0,0,0,0,15,12,0,37,65,"MIA","CHI",35,32,"False","outdoors","grass ",58,55,17,NA,"",NA,2022-11-06
"202211060chi","WilsCe01","WR","Cedrick Wilson Jr.","MIA",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,23,0,14,0,0,0,0,0,0,"MIA","CHI",0,0,0,0,0,0,4.3,4.3,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,6,17,0,13,23,"MIA","CHI",35,32,"False","outdoors","grass ",58,55,17,NA,"",NA,2022-11-06
"202211060chi","IngoAl01","FB","Alec Ingold","MIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MIA","CHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,49,"MIA","CHI",35,32,"False","outdoors","grass ",58,55,17,NA,"",NA,2022-11-06
"202211060chi","LongHu00","TE","Hunter Long","MIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MIA","CHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,"MIA","CHI",35,32,"False","outdoors","grass ",58,55,17,NA,"",NA,2022-11-06
"202211060chi","WescTr00","TE","Trevon Wesco","CHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CHI","MIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,"MIA","CHI",35,32,"False","outdoors","grass ",58,55,17,NA,"",NA,2022-11-06
"202211060chi","BlasKh00","FB","Khari Blasingame","CHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CHI","MIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,"MIA","CHI",35,32,"False","outdoors","grass ",58,55,17,NA,"",NA,2022-11-06
"202211060chi","HerbKh00","RB","Khalil Herbert","CHI",0,0,0,0,0,0,0,0,0,7,23,0,5,0,0,0,0,0,0,0,7,7,0,7,"CHI","MIA",0,0,0,0,0,0,2.3,2.3,2.3,2.3,2.3,2.3,0,0,0,0,6,17,0,0,0,0,21,28,"MIA","CHI",35,32,"False","outdoors","grass ",58,55,17,NA,"",NA,2022-11-06
"202211060chi","KmetCo00","TE","Cole Kmet","CHI",0,0,0,0,0,0,0,0,0,2,9,0,8,6,5,41,2,18,0,0,2,2,0,2,"CHI","MIA",0,0,0,0,0,0,22,22,19.5,19.5,19.5,19.5,0,0,0,0,9,0,0,51,22,0,72,97,"MIA","CHI",35,32,"False","outdoors","grass ",58,55,17,NA,"",NA,2022-11-06
"202211060chi","ClayCh01","WR","Chase Claypool","CHI",0,0,0,0,0,0,0,0,0,1,4,0,4,6,2,13,0,12,0,0,1,1,0,1,"CHI","MIA",0,0,0,0,0,0,3.7,3.7,2.7,2.7,2.7,2.7,0,0,0,0,2,2,0,46.2,12,2,26,35,"MIA","CHI",35,32,"False","outdoors","grass ",58,55,17,NA,"",NA,2022-11-06
